key,method,family,authors,year,venue,doi,pmid,citations,measured_effects,feasibility_verdict,certificate,infeasibility,heldout_validation,combinatorial,druggability,input_type,output_type,limitation,one_line_delta,cohort
Wytock2024,Transfer-learned functional-network control,Control from data,Wytock & Motter,2024,Proceedings of the National Academy of Sciences,10.1073/pnas.2312942121,38437548.0,8.0,no,no,no,no,partial,partial,no,Learned functional gene-network / expression model (transfer learning across cell types) from transcriptomic data,Predicted transcription-factor perturbations / control interventions for direct cell reprogramming,Learned-model prediction of drivers; does not test convex reachability of a specific target nor certify infeasibility from available perturbations,"Where Wytock & Motter learn a functional network to predict reprogramming TFs, we test a target transition for membership in a cone of measured effects and return a provable feasibility/infeasibility certificate.",core
Rackham2016,Mogrify (network-influence TF predictor),TF-reprogramming predictor,Rackham et al. (Mogrify),2016,Nature Genetics,10.1038/ng.3487,26780608.0,306.0,no,no,no,no,partial,partial,no,"Inferred regulatory-influence network + gene-expression signatures (e.g., FANTOM5) across cell/tissue types",Ranked set of transcription factors predicted to convert a source cell type into a target cell type,Ranks TFs from an inferred network + expression atlas; no measured-perturbation cone and no certificate of whether a target conversion is achievable or provably not,"Mogrify ranks candidate TF cocktails from an inferred influence network; we decide reachability of the target state from MEASURED perturbation effects and, when unreachable, name the genes that must be activated via a Farkas certificate.",core
Cahan2014,CellNet (GRN cell-identity assessment),TF-reprogramming predictor,Cahan et al. (CellNet),2014,Cell,10.1016/j.cell.2014.07.020,25126793.0,545.0,no,no,no,no,partial,partial,no,Inferred gene-regulatory networks (GRNs) from large expression compendia + a cell-type classifier,Cell-identity/GRN status ASSESSMENT of engineered cells plus prioritized transcriptional regulators to improve a conversion,Assesses identity and recommends regulators from inferred GRNs; does not test convex reachability of a target transition or certify infeasibility,CellNet grades cell identity against inferred GRNs and suggests regulators; we instead give a data-grounded yes/no reachability verdict for the transition with a convex certificate and an explicit activation set.,core
Kamimoto2023,CellOracle,GRN + in-silico perturbation,Kamimoto et al.,2023,Nature,10.1038/s41586-022-05688-9,36755098.0,656.0,partial,no,no,no,partial,partial,no,"Inferred GRN (base GRN from scATAC-seq/motif scan, pruned by scRNA-seq regression) + scRNA-seq.",Predicted cell-identity/state shift from in-silico TF knockout or overexpression: perturbation signal propagated through the linear GRN model and projected as a transition vector onto a differentiation/pseudotime field.,"Predicts a response on an INFERRED network rather than measuring it; can only perturb TFs present in the base GRN; gives a predicted shift, not a data-grounded reachable/not-reachable verdict or certificate; prediction robustness has been questioned.","We assemble MEASURED perturbation effect vectors as convex-cone generators and return a falsifiable reachable/not-reachable verdict with a Farkas activation certificate, instead of propagating a perturbation through an inferred network to predict a directional shift.",core
Wang2023Dictys,Dictys,GRN + in-silico perturbation,Wang et al.,2023,Nature Methods,10.1038/s41592-023-01971-3,37537351.0,107.0,no,no,no,no,partial,partial,no,"Inferred context-specific/dynamic GRN from single-cell multiomics (scRNA + scATAC) with TF footprinting, resolved along a developmental trajectory.",Reconstructed dynamic GRN plus in-silico perturbation / regulatory-driver analysis: predicted network-level effect and TF influence/logFC across cell states.,"Outputs are bounded by GRN-inference accuracy and describe predicted influence/effect, not whether a target transition is achievable; no certificate.","We reconstruct no network at all — we test whether a target transition lies in the cone spanned by real measured perturbation signatures, yielding a certificate rather than a dynamic-network prediction.",core
Aibar2017,SCENIC,GRN + in-silico perturbation,Aibar et al.,2017,Nature Methods,10.1038/nmeth.4463,28991892.0,6993.0,no,no,no,no,partial,no,no,scRNA-seq expression; co-expression modules (GENIE3/GRNBoost) refined by motif enrichment (cisTarget) into regulons.,"Regulons (TF + target gene sets) and per-cell regulon activity (AUCell) — a TF-activity / cell-state characterization. It is a network-inference + activity-scoring layer, not an in-silico perturbation simulator.",Infers regulatory activity but does not predict perturbation outcomes or achievability; it is the foundational inference layer that downstream in-silico-perturbation tools depend on (inheriting its inference error).,"SCENIC scores which regulons are active; we invert the question — given measured perturbation effects, we certify whether a desired state change is reachable and, if not, which genes must be activated.",core
BravoGonzalezBlas2023,SCENIC+,GRN + in-silico perturbation,Bravo Gonzalez-Blas et al.,2023,Nature Methods,10.1038/s41592-023-01938-4,37443338.0,695.0,no,no,no,no,partial,partial,no,Single-cell multiome (scRNA + scATAC / 10x Multiome); enhancer-driven GRNs (eRegulons linking TF -> enhancer -> gene) via motif + region-to-gene modeling.,Enhancer-GRN (eRegulons) with TF/enhancer/gene activity; supports in-silico TF perturbation simulation over the inferred enhancer network.,"Depends on a noisy enhancer-GRN inference step (motif scan + multiome region-to-gene); yields predicted effects/rankings, not a data-grounded achievability certificate.","We bypass enhancer/GRN inference and its errors, using measured effect vectors directly to produce a provable reachability verdict with a certificate.",core
Xu2021,ANANSE,GRN + in-silico perturbation,Xu et al.,2021,Nucleic Acids Research,10.1093/nar/gkab598,34244796.0,98.0,no,no,no,no,partial,partial,no,Enhancer activity (H3K27ac/ATAC) + expression to build cell-type-specific TF-gene networks for a source and a target cell state.,"Ranked key/influential TFs for a specified cell-fate transition, scored from the differential (source vs target) regulatory network 'influence' score.","Produces a prioritized TF list from an inferred differential network, not a measured-effect reachability verdict; no certificate of achievability or infeasibility.","ANANSE ranks candidate TF drivers for a transition; we instead certify whether the transition is achievable at all from the available measured perturbations, and via Farkas name the genes that must be activated if it is not.",core
Osorio2022,scTenifoldKnk,GRN + in-silico perturbation,Osorio et al.,2022,Patterns,10.1016/j.patter.2022.100434,35510185.0,157.0,no,no,no,no,partial,partial,no,A single-cell GRN inferred from one scRNA-seq sample (tensor-decomposition-denoised network).,"Virtual knockout: the gene's row is zeroed in the inferred network, the network is re-embedded and manifold-aligned to the wild-type, and a distance test returns the genes predicted to be differentially regulated after the in-silico deletion.","Loss-of-function only, on a single inferred network; predicts a KO's gene-level effect, not whether a target CELL-STATE transition is reachable, and gives no certificate or activation prescription.","scTenifoldKnk predicts which genes change after a virtual KO on an inferred network; we test reachability of a whole target transition from measured effects and, via Farkas, prescribe the required activations.",core
Pratapa2020,BEELINE,GRN + in-silico perturbation,Pratapa et al.,2020,Nature Methods,10.1038/s41592-019-0690-6,31907445.0,825.0,no,no,no,no,partial,no,no,scRNA-seq (curated real datasets plus synthetic/simulated datasets with known ground-truth networks); evaluates 12 GRN-inference algorithms.,"Benchmark evaluation: accuracy and stability rankings of GRN-inference methods (AUPRC/AUROC vs ground truth, early-precision, robustness).",Documents that GRN inference is itself error-prone and strongly method-dependent — the exact inference step that every in-silico-perturbation method in this family relies on — and provides no perturbation or achievability output of its own.,"BEELINE quantifies how unreliable GRN inference is; our method sidesteps inference entirely by using measured perturbation effects, so those accuracy caveats never propagate into our verdict.",core
Wang2023CEFCON,CEFCON,GRN + in-silico perturbation,Wang et al.,2023,Nature Communications,10.1038/s41467-023-44103-3,38123534.0,25.0,no,no,partial,no,partial,partial,no,A cell-lineage-specified GRN (inferred from scRNA-seq) analyzed with a graph neural network plus network control theory.,"Ranked driver regulators of cell-fate decisions and gene-influence scores, with a minimal driver (control) node set derived from network controllability.","Control-theoretic drivers are computed on an INFERRED network and yield a ranked/critical set, not a measured-effect achievability certificate or a data-grounded gain-of-function prescription.","CEFCON applies control theory to an inferred network to rank drivers; we apply a convex feasibility test to cones of MEASURED effects, giving a provable verdict plus a Farkas activation certificate rather than a driver ranking.",core
Cannoodt2021,dyngen,GRN + in-silico perturbation,Cannoodt et al.,2021,Nature Communications,10.1038/s41467-021-24152-2,34168133.0,129.0,no,no,no,no,no,partial,no,A user-defined/backbone mechanistic gene-regulatory network model (thermodynamic + stochastic-simulation kinetics) — it generates synthetic data rather than consuming real screens.,"Synthetic single-cell datasets with a known ground-truth GRN, trajectories, and optional simulated knockdown/perturbation data for benchmarking downstream methods.","Produces SIMULATED data from an assumed network; the 'ground truth' is model-defined rather than measured, and it offers no achievability verdict or certificate for a real target transition.",dyngen fabricates synthetic perturbation data from an assumed network for benchmarking; we operate on REAL measured perturbation screens and return a certified achievability verdict for a real target transition.,core
Roohani2023,GEARS,Perturbation-response prediction,Roohani et al.,2023,Nature Biotechnology,10.1038/s41587-023-01905-6,37592036.0,309.0,yes,no,no,no,yes,yes,no,scRNA-seq Perturb-seq (measured perturbations) + a prior gene-gene knowledge graph (GO/co-expression) as inductive bias,Predicted post-perturbation expression profile (differential response) for unseen single- and two-gene genetic perturbations,"Predicts the response to a chosen perturbation, not whether a desired target state is achievable; returns a plausible answer for any query even when the target lies outside what the measured perturbations can reach, and never certifies impossibility","We pose the inverse of GEARS: instead of predicting a perturbation's response, we test whether a target transition lies in the convex cone spanned by measured effect vectors, and when it does not we emit a Farkas certificate naming genes to activate.",core
Lotfollahi2023,CPA (Compositional Perturbation Autoencoder),Perturbation-response prediction,Lotfollahi et al.,2023,Molecular Systems Biology,10.15252/msb.202211517,37154091.0,272.0,yes,no,no,no,yes,yes,no,"Single-cell expression with perturbation/covariate labels (drug, dose, genetic, cell type) — measured screen data","Predicted (counterfactual) expression response for new combinations of perturbations/doses/covariates, plus interpretable additive latent embeddings",Produces a predicted response for any composition under a latent-additivity assumption; gives no data-grounded verdict on whether a target state is reachable and no certificate when it is not,CPA composes learned latent perturbation vectors to predict a response; we compose measured effect vectors under a nonnegativity constraint to decide reachability and certify infeasibility.,core
Hetzel2022,chemCPA,Perturbation-response prediction,Hetzel et al.,2022,NeurIPS 2022 (arXiv:2204.13545),10.48550/arXiv.2204.13545,,42.0,yes,no,no,no,yes,no,yes,Single-cell expression + drug chemical structure (molecular encoder) + dose,Predicted single-cell transcriptional response to novel (unseen) drug molecules at given doses,"Predicts a drug's response signature but cannot say whether a desired cell state is reachable by the available perturbations, and offers no infeasibility certificate",chemCPA predicts responses to unseen drugs; we do not predict a response at all but certify whether a target state is reachable by combining measured genetic effect vectors.,core
Lotfollahi2019,scGen,Perturbation-response prediction,Lotfollahi et al.,2019,Nature Methods,10.1038/s41592-019-0494-8,31363220.0,696.0,yes,no,no,no,yes,no,no,Single-cell expression + condition labels; VAE latent space with vector arithmetic,Predicted expression of an unseen cell type/species in a perturbed condition via a learned latent delta (out-of-distribution response prediction),Adds one learned latent delta to predict a stimulated state; provides no verdict on reachability of an arbitrary target and no certificate of impossibility,scGen adds a single learned latent delta to predict a stimulated state; we test membership of a target delta in a convex cone of many measured deltas and certify when it is outside.,core
Piran2024,Biolord,Perturbation-response prediction,Piran et al.,2024,Nature Biotechnology,10.1038/s41587-023-02079-x,38225466.0,63.0,yes,no,no,no,yes,partial,no,Single-cell expression + known attributes (ordered and categorical labels); disentangled representation learning,"Predicted (generative) expression for unseen attribute combinations — e.g., unseen dose/perturbation/cell-state combinations","Generates expression for unseen attribute combinations but does not decide whether a target combination of states is reachable, nor certify infeasibility",Biolord disentangles attributes to generate unseen combinations; we use measured effect vectors to decide and certify whether a target combination of states is reachable.,core
Cui2024,scGPT,Foundation model,Cui et al.,2024,Nature Methods,10.1038/s41592-024-02201-0,38409223.0,1073.0,yes,no,no,no,yes,yes,no,"Large-scale single-cell transcriptomes (33M+ cells) for transformer pretraining; fine-tuned per task, including perturbation prediction","Task-dependent; for perturbation, predicted post-perturbation expression; also cell/gene embeddings, annotation, GRN inference",A general-purpose pretrained model that outputs responses; provides no data-grounded reachable/not-reachable verdict and no certificate,scGPT is a pretrained model fine-tuned to output responses; we run a convex feasibility program on measured effect vectors to return a certified reachable/not-reachable verdict.,core
Theodoris2023,Geneformer,Foundation model,Theodoris et al.,2023,Nature,10.1038/s41586-023-06139-9,37258680.0,1051.0,no,no,no,no,partial,partial,no,~30M single-cell transcriptomes rank-value encoded for transformer pretraining; enables in-silico perturbation of the learned model,"In-silico deletion/activation predictions of network shifts, disease-driver gene rankings, and embedding-based cell-state classification","Ranks candidate regulators by perturbing a learned embedding, not measured effect vectors; gives no data-grounded reachability verdict and no infeasibility certificate",Geneformer perturbs a learned embedding to rank candidate regulators; we operate on measured effect vectors and return a provable feasibility certificate rather than a ranking.,core
Hao2024,scFoundation,Foundation model,Hao et al.,2024,Nature Methods,10.1038/s41592-024-02305-7,38844628.0,473.0,yes,no,no,no,yes,partial,no,"~50M single-cell transcriptomes, read-depth-aware transformer pretraining; embeddings feed downstream task models (e.g., GEARS)","Cell/gene embeddings that boost downstream perturbation-response prediction, drug-response prediction and annotation",Provides embeddings that improve response prediction but never emits a reachability verdict or infeasibility certificate,scFoundation supplies embeddings that improve response prediction; our oracle bypasses embeddings and tests reachability directly on measured differential-expression vectors with a certificate.,core
Norman2019,Genetic-interaction manifolds (Norman combinatorial Perturb-seq),Combinatorial data / OT / design,Norman et al.,2019,Science,10.1126/science.aax4438,31395745.0,376.0,yes,no,no,no,partial,yes,no,"Measured combinatorial CRISPRa Perturb-seq (single + double perturbations), rich single-cell phenotypes","Genetic-interaction manifold and GI classification (synergy, additivity, epistasis, suppression); a low-dimensional map of combined phenotypes (data resource)","Characterizes combinations that were actually assayed; does not decide whether a new, unassayed target state is reachable, and provides no feasibility program or certificate",Norman provides the measured combinatorial effect vectors; we build a convex-cone reachability oracle on top of such measured effects to certify achievability of unseen target states.,core
Schiebinger2019,Waddington-OT,Combinatorial data / OT / design,Schiebinger et al.,2019,Cell,10.1016/j.cell.2019.01.006,30712874.0,855.0,yes,no,no,no,partial,no,no,Time-series scRNA-seq (measured); optimal-transport couplings between consecutive timepoints,"Developmental trajectories, ancestor-descendant transport maps, fate probabilities, and putative regulatory drivers of transitions","Maps how cells do transition over observed time under natural dynamics; it does not tell you whether a transition is achievable by available perturbations, nor certify when it is impossible",Waddington-OT maps observed temporal transitions via optimal transport; we solve a different convex program — reachability of a target by combining measured perturbation effects — and certify when it is impossible.,core
Lange2022,CellRank,Combinatorial data / OT / design,Lange et al.,2022,Nature Methods,10.1038/s41592-021-01346-6,35027767.0,783.0,no,no,no,no,partial,no,no,scRNA-seq with RNA-velocity / pseudotime / similarity kernels combined into a Markov transition matrix,"Initial and terminal state identification, fate probabilities, and driver-gene rankings toward each fate",Describes spontaneous fate transitions and ranks drivers; it does not decide perturbation-reachability of a target fate nor emit an infeasibility certificate,"CellRank estimates fate probabilities along observed dynamics; we test and certify whether a desired fate is reachable by combining measured perturbations, independent of spontaneous dynamics.",core
Huang2024,IterPert (sequential optimal experimental design of perturbation screens),Combinatorial data / OT / design,Huang et al.,2024,RECOMB 2024 (Lecture Notes in Computer Science),10.1007/978-1-0716-3989-4_2,,7.0,yes,no,no,no,yes,partial,no,"Multi-modal priors (ontologies, pathways, protein/literature embeddings) + measured Perturb-seq feedback in an active-learning loop",A batch acquisition policy — which perturbations to assay next to learn the screen most label-efficiently,"Optimizes which experiments to run next, not whether a target cell state is reachable from the measured effects; produces no reachability verdict or certificate","IterPert decides which perturbations to measure next; given the measured effects, we decide whether a target is reachable and certify infeasibility — complementary to, not competing with, experimental design.",core
Cifuentes-Fontanals2025,Trap-space-based control strategy identification (ASP),Structural / Boolean network control,"Laura Cifuentes-Fontanals, Elisa Tonello et al.",2025,BMC Bioinformatics,10.1186/s12859-025-06135-y,41057758.0,1.0,no,partial,partial,no,no,yes,no,Boolean network model (logical update rules),control-set (node/edge interventions),"relies on a pre-specified/inferred Boolean logic network rather than directly measured perturbation effects, and provides no dual infeasibility proof or minimal-recipe optimality guarantee when no strategy exists","Their method searches percolation and trap-space reachability inside a hand-built/inferred Boolean logic model, whereas our oracle uses measured CRISPRi effect vectors to define a convex cone and returns a provably minimal recipe or a Farkas/KKT certificate proving infeasibility and naming genes needing activation, with held-out-gene and null validation plus CRISPRa transfer.",2025-2026
Metzcar2025,Boolean network stable-motif/exhaustive control + multiscale ABM translation,Structural / Boolean network control,"John Metzcar, Katie Pletz et al.",2025,arXiv (Cornell University),10.48550/arxiv.2501.16052,,0.0,no,partial,partial,no,no,partial,no,Boolean network model (curated logic rules) of a cell-survival network + continuous multicellular agent-based model parameters,control-set (candidate node interventions) + simulated population/spatial trajectories,"relies on a curated/inferred discrete Boolean logic network rather than measured perturbation-effect vectors, uses implicit-time attractor logic with heuristic discrete-to-continuous thresholding, and provides no infeasibility proof or minimal-recipe guarantee at the multicellular scale","Our oracle composes measured CRISPRi effect vectors into a convex cone and returns a falsifiable verdict—reachable with a minimal recipe or provably infeasible with a Farkas certificate naming genes to activate—whereas this method searches/simulates interventions on an inferred Boolean logic network and only forward-simulates their multicellular consequences, with no measured-effect basis, no minimal-recipe guarantee, and no formal infeasibility proof.",2025-2026
Murrugarra2025,Modular Boolean Network Control,Structural / Boolean network control,"David Murrugarra, Alan Veliz‐Cuba et al.",2025,Bulletin of Mathematical Biology,10.1007/s11538-025-01471-9,40461704.0,1.0,no,partial,partial,partial,no,yes,no,Boolean network model (logical update rules) of a gene regulatory network,control-set (minimal node interventions driving network to a target attractor),"depends on a hand-curated/inferred Boolean logic model rather than measured perturbation effect vectors, and offers no quantitative infeasibility proof or minimal-recipe certificate when a target is unreachable","Our oracle certifies reachability directly from measured CRISPRi effect vectors via a convex cone, returning either a minimal knockdown recipe or a Farkas infeasibility certificate naming genes to activate, whereas this method finds control sets by algebraic/canalizing decomposition of a pre-specified Boolean logic model with no such measured-data-grounded feasibility guarantee.",2025-2026
Trinh2025,biobalm (succession diagram mapper),Structural / Boolean network control,"Van-Giang Trinh, Kyu Hyong Park et al.",2025,Bioinformatics,10.1093/bioinformatics/btaf280,40327535.0,5.0,no,partial,partial,no,yes,partial,no,Boolean network model (logic rules),"attractor-set + control-set (succession diagram, stable motifs)","relies on a hand-curated/inferred Boolean logic model rather than measured perturbation-effect vectors; no convex-cone feasibility proof or Farkas infeasibility certificate, and no minimal quantitative recipe","biobalm analyzes a given Boolean logic model's attractor landscape and derives discrete control strategies, whereas our oracle uses measured CRISPRi effect vectors to issue a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or a Farkas certificate naming genes to activate instead.",2025-2026
Vecchio2026,Biomolecular feedback/feedforward control design,Structural / Boolean network control,Domitilla Del Vecchio,2026,Open MIND,10.48550/arxiv.2601.20135,,0.0,no,partial,partial,no,no,no,no,ODE/dynamical models of the biomolecular 'plant' + known perturbation/disturbance structure,control-law / circuit architecture (feedback or feedforward controller) driving a regulator to a set-point,requires an explicit mechanistic (ODE) plant model and hand-designed biomolecular controller rather than measured combinatorial perturbation data; no systematic reachability/infeasibility proof or minimal-recipe search over gene sets,"This paper engineers a model-based feedback/feedforward controller to hold one known regulator at a set-point, whereas our oracle uses measured multi-gene knockdown effect vectors to give a data-driven, certificate-backed verdict (reachable-with-minimal-recipe or Farkas-infeasible-with-named-activation-targets) over the whole combinatorial cell-state-shift space.",2025-2026
Yang2026,Computational blueprints for cell fate programming (review/framework),Structural / Boolean network control,Pengyi Yang,2026,Stem Cell Reports,10.1016/j.stemcr.2026.102929,42208532.0,0.0,partial,no,no,no,no,partial,partial,"scRNA-seq/spatial multi-omics + literature priors + perturbation screen data (synthesized survey, not a single algorithm)",narrative framework/pipeline recommendations + prioritized TF/small-molecule lists,"relies on inferred GRNs/annotation/trajectory tools with no measured-effect convex structure, no certificate of infeasibility, no minimal recipe guarantee - it is a qualitative pipeline synthesis, not a solver","This review surveys heuristic, correlation-based computational tools for prioritizing TFs/molecules within an iterative design-test-learn loop, whereas our oracle uses measured CRISPRi effects to build a convex cone yielding a provable reachable/infeasible verdict with a minimal recipe or Farkas certificate naming genes to activate instead.",2025-2026
Funk2025,Airqtl,GRN + in-silico perturbation,"Matthew W. Funk, Yuhe Wang et al.",2025,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.01.15.633041,,1.0,no,no,no,no,yes,no,no,single-cell eQTL data (genotype + scRNA-seq across cell states),cell state-specific causal gene regulatory network (eQTL-based edges),"relies on inferred/correlational GRN from eQTL associations rather than measured perturbation effects; no reachability or infeasibility guarantee, no minimal recipe","Airqtl statistically infers causal regulatory edges from genotype-expression correlations across cell states, whereas our oracle uses measured CRISPRi effect vectors to issue a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or a Farkas certificate naming genes to activate instead.",2025-2026
Huang2025,SMOGT (heterogeneous graph transformer for HRNet),GRN + in-silico perturbation,"Yuhong Huang, Chao Liu et al.",2025,Briefings in Bioinformatics,10.1093/bib/bbaf664,41643202.0,0.0,partial,no,no,no,partial,partial,no,single-cell multi-omics (scRNA-seq + scATAC-seq) + ChIP-seq/HiC priors,embedding / regulatory network (TF-CRE-TG edges) + in silico perturbation trajectory prediction,"relies on an inferred/learned heterogeneous GRN (attention weights, not measured causal effects), giving only forward simulation of specified perturbations with no reachability proof, no minimal recipe, and no infeasibility certificate","SMOGT learns a hierarchical attention-weighted network from multi-omics correlations and forward-simulates given perturbations, whereas our oracle composes measured CRISPRi effect vectors into a convex cone to return a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or a Farkas certificate naming genes needing activation.",2025-2026
Ota2025,Regulator-Program-Trait causal graph,GRN + in-silico perturbation,"Mineto Ota, Jeffrey P. Spence et al.",2025,Nature,10.1038/s41586-025-09866-3,41372418.0,10.0,partial,no,no,no,no,no,no,Perturb-seq-derived GRNs + LoF burden gene-trait effect sizes,causal graph / mechanistic pathway ranking,"relies on inferred GRN structure and correlational burden-test effect sizes to build explanatory graphs, with no reachability query, no minimal perturbation recipe, and no infeasibility certificate","This method infers an explanatory regulator-to-trait causal graph from statistical associations, whereas our oracle uses measured knockdown effects to give a falsifiable convex-cone verdict—reachable with a minimal recipe or provably infeasible with a Farkas certificate naming genes to activate.",2025-2026
